Zone,Date,Temperature,ReportType
A,4/1/2019,3.3,FM-15
A,4/1/2019,5,SOD  
A,4/1/2019,5,SOM  
A,4/1/2019,2.2,FM-15
A,4/1/2019,1.1,FM-15
A,4/1/2019,0.6,FM-15
A,4/1/2019,0,FM-15
A,4/1/2019,-0.6,FM-15
A,4/1/2019,-0.6,FM-15
A,4/1/2019,1.1,FM-15
A,4/1/2019,2.2,FM-15
A,4/1/2019,3.9,FM-15
A,4/1/2019,4.4,FM-15
A,4/1/2019,6.1,FM-15
A,4/1/2019,7.2,FM-15
A,4/1/2019,8.3,FM-15
A,4/1/2019,8.9,FM-15
A,4/1/2019,8.6,FM-15
A,4/1/2019,8.3,FM-15
A,4/1/2019,7.2,FM-15
A,4/1/2019,6.1,FM-15
A,4/1/2019,2.8,FM-15
A,4/1/2019,0.6,FM-15
A,4/1/2019,-0.6,FM-15
A,4/1/2019,-1.1,FM-16
A,4/2/2019,-2.2,FM-15
A,4/2/2019,5,SOD  
A,4/2/2019,-2.8,FM-15
A,4/2/2019,-1.7,FM-15
A,4/2/2019,-3.3,FM-15
A,4/2/2019,-3.9,FM-15
A,4/2/2019,-3.9,FM-15
A,4/2/2019,-3.9,FM-15
A,4/2/2019,-0.6,FM-15
A,4/2/2019,7.2,FM-15
A,4/2/2019,8.3,FM-15
A,4/2/2019,8.9,FM-15
A,4/2/2019,9.4,FM-15
A,4/2/2019,9.4,FM-15
A,4/2/2019,8.3,FM-15
A,4/2/2019,7.2,FM-15
A,4/2/2019,7.2,FM-15
A,4/2/2019,7.2,FM-16
A,4/2/2019,6.7,FM-15
A,4/2/2019,7.2,FM-15
A,4/2/2019,7.2,FM-16
A,4/2/2019,7.2,FM-15
A,4/2/2019,6.7,FM-16
A,4/2/2019,6.7,FM-15
A,4/2/2019,6.1,FM-16
A,4/2/2019,6.1,FM-15
A,4/2/2019,6.1,FM-16
A,4/2/2019,6.1,FM-15
A,4/2/2019,6.1,FM-15
A,4/2/2019,6.1,FM-15
A,4/3/2019,5.6,FM-15
A,4/3/2019,5,SOD  
A,4/3/2019,6,FM-16
A,4/3/2019,5.6,FM-15
A,4/3/2019,5.6,FM-15
A,4/3/2019,5.6,FM-16
A,4/3/2019,5,FM-15
A,4/3/2019,4.4,FM-15
A,4/3/2019,3.9,FM-15
A,4/3/2019,2.8,FM-15
A,4/3/2019,5,FM-15
A,4/3/2019,7.2,FM-15
A,4/3/2019,10,FM-15
A,4/3/2019,12.8,FM-15
A,4/3/2019,15,FM-15
A,4/3/2019,17.2,FM-15
A,4/3/2019,17.8,FM-15
A,4/3/2019,18.9,FM-15
A,4/3/2019,18.9,FM-15
A,4/3/2019,20,FM-15
A,4/3/2019,20,FM-15
A,4/3/2019,18.9,FM-15
A,4/3/2019,17.2,FM-15
A,4/3/2019,16.1,FM-15
A,4/3/2019,15,FM-15
A,4/3/2019,13.9,FM-15
A,4/3/2019,10.6,FM-15
A,4/4/2019,8.3,FM-15
A,4/4/2019,5,SOD  
A,4/4/2019,5.6,FM-15
A,4/4/2019,5.6,FM-15
A,4/4/2019,7.2,FM-15
A,4/4/2019,5,FM-15
A,4/4/2019,3.9,FM-15
A,4/4/2019,2.2,FM-15
A,4/4/2019,6.7,FM-15
A,4/4/2019,11.7,FM-15
A,4/4/2019,13.9,FM-15
A,4/4/2019,15.6,FM-15
A,4/4/2019,16.7,FM-15
A,4/4/2019,17.2,FM-15
A,4/4/2019,17.8,FM-15
A,4/4/2019,18.3,FM-15
A,4/4/2019,18.3,FM-15
A,4/4/2019,18.3,FM-15
A,4/4/2019,18.3,FM-16
A,4/4/2019,17.8,FM-15
A,4/4/2019,16.1,FM-15
A,4/4/2019,13.9,FM-15
A,4/4/2019,8.3,FM-15
A,4/4/2019,8.3,FM-15
A,4/4/2019,8.9,FM-15
A,4/4/2019,7.8,FM-15
A,4/5/2019,6.7,FM-15
A,4/5/2019,5,SOD  
A,4/5/2019,7.2,FM-15
A,4/5/2019,8.9,FM-15
A,4/5/2019,8.3,FM-15
A,4/5/2019,8.3,FM-15
A,4/5/2019,7.2,FM-15
A,4/5/2019,6.7,FM-15
A,4/5/2019,6.1,FM-15
A,4/5/2019,6.1,FM-15
A,4/5/2019,6.7,FM-15
A,4/5/2019,6.1,FM-15
A,4/5/2019,6.7,FM-15
A,4/5/2019,7.2,FM-15
A,4/5/2019,7.8,FM-15
A,4/5/2019,7.2,FM-15
A,4/5/2019,6.7,FM-16
A,4/5/2019,6.7,FM-15
A,4/5/2019,7.2,FM-15
A,4/5/2019,8,FM-16
A,4/5/2019,7.8,FM-15
A,4/5/2019,7.2,FM-16
A,4/5/2019,7.8,FM-15
A,4/5/2019,7.8,FM-15
A,4/5/2019,8.3,FM-15
A,4/5/2019,8.9,FM-16
A,4/5/2019,8.9,FM-16
A,4/5/2019,8.9,FM-15
A,4/5/2019,8.9,FM-15
A,4/5/2019,8.9,FM-16
A,4/5/2019,8.9,FM-16
A,4/5/2019,8.9,FM-16
A,4/5/2019,8.9,FM-16
A,4/5/2019,8.9,FM-15
A,4/6/2019,8.9,FM-16
A,4/6/2019,9,FM-16
A,4/6/2019,8.9,FM-15
A,4/6/2019,5,SOD  
A,4/6/2019,8.9,FM-16
A,4/6/2019,8.9,FM-15
A,4/6/2019,8.9,FM-16
A,4/6/2019,8.9,FM-15
A,4/6/2019,8.3,FM-15
A,4/6/2019,8.3,FM-16
A,4/6/2019,8,FM-16
A,4/6/2019,8.3,FM-15
A,4/6/2019,7.8,FM-16
A,4/6/2019,7.8,FM-16
A,4/6/2019,8,FM-16
A,4/6/2019,7.8,FM-15
A,4/6/2019,7.8,FM-16
A,4/6/2019,7.8,FM-15
A,4/6/2019,7.2,FM-16
A,4/6/2019,8,FM-16
A,4/6/2019,7.8,FM-15
